PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
79,2023-05-30,19:49:37.94,3,4,"Penrod, Zach",683068,Left,MIS_PAD,"Petersen, Casey",1000248749,Right,ROC_VIB,Undefined,3,Top,2,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29161,-1.841104,4.956872,2219.938888,233.094887,1:45,5.95408,-2.56543,5.95575,-36.47986,2.01575,1.13154,1.19975,2.13712,78.72101,-8.516251,5.159163,0.446557,,,,,,,,,,,,0.77181,1.92843,2.17021,50,5.78706,-10.75276,-123.45796,-5.21124,1.19372,24.09183,-29.1914,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,66ef8670-ff55-11ed-b453-ebf3d8e2a684,84.40675,,,6.5706,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:49:37.94,2023-05-30T19:49:37.9477548-06:00,2023-05-31T01:49:37.9477548Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,143ffe29-40a5-47f9-ac3a-77a16c436eac,54.54193,-124.34112,12.04592,5.95848,-4.14114,-14.5957,2.56518,-10.79652,0.59686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
80,2023-05-30,19:49:50.24,3,5,"Penrod, Zach",683068,Left,MIS_PAD,"Petersen, Casey",1000248749,Right,ROC_VIB,Undefined,3,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.93578,-2.818184,3.790335,2263.603824,167.752388,11:30,6.46368,-2.06358,6.18825,-15.76237,17.22965,-3.50032,2.54034,1.14943,83.73654,-5.829514,3.160859,0.413405,,,,,,,,,,,,2.90831,10.06103,1.77922,50,6.24256,-8.67121,-133.12313,-7.00357,5.19566,29.77106,-14.20013,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,6e3abe40-ff55-11ed-b453-ebf3d8e2a684,91.17555,,,8.19924,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:49:50.24,2023-05-30T19:49:50.2426156-06:00,2023-05-31T01:49:50.2426156Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,6d408df1-a520-42b3-8300-7f279742618b,54.30765,-134.08301,14.88553,6.46099,-6.54572,-7.10007,2.0615,-8.83873,2.59783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
81,2023-05-30,19:50:02.50,3,6,"Penrod, Zach",683068,Left,MIS_PAD,"Petersen, Casey",1000248749,Right,ROC_VIB,Undefined,3,Top,2,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.76992,-1.950926,3.595899,2261.257878,160.369773,11:15,6.38817,-2.23434,6.18362,-14.93733,17.42851,-5.82981,3.33771,0.60456,84.34652,-4.82108,2.547107,0.409463,98.28184,41.734236,1.013075,4338.666282,109.97672,92.984,-2.24966,349.6402,321.83937,-5.292275,6.104884,4.09398,9.93693,1.96569,50,6.23309,-8.20735,-134.46916,-5.0043,7.45326,30.71296,-14.08352,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,758fba10-ff55-11ed-b453-ebf3d8e2a684,92.05331,132.73189,,8.42339,,,,2.39112,3.46258,-0.55644,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:50:02.50,2023-05-30T19:50:02.5027116-06:00,2023-05-31T01:50:02.5027116Z,FlyBall,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,f7403aa8-a6f6-4171-a778-159b772f8b29,54.314,-135.4509,15.35648,6.38586,-4.55412,-7.04176,2.23185,-8.44559,3.72663,167.996446,2.4013,107.37841,-22.14544,4.8929,-0.72727,0.05719,-0.00044,-0.00019,1E-05,3.45772,96.02395,-21.75454,2.22303,-0.39371,0.03126,0.00425,-0.00107,6E-05,-0.55488,1.87448,-3.45561,0.85882,-0.14904,0.01683,-0.001,2E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
82,2023-05-30,19:52:00.97,1,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"O'Connor, McClain",1000023663,Right,MIS_PAD,Undefined,3,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.18746,1.377088,-2.194623,2106.230794,24.35816,6:45,6.40409,1.52295,5.28705,-68.22764,-11.73729,-6.09693,2.01276,-1.04694,65.89181,-10.924758,-3.278599,0.540952,,,,,,,,,,,,2.44032,-5.8128,-1.31829,50,6.47914,4.1779,-103.33632,0.31066,2.6315,17.66136,-38.44221,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,bc3c39c0-ff55-11ed-b453-ebf3d8e2a684,69.67801,,,5.29566,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:52:00.97,2023-05-30T19:52:00.9733676-06:00,2023-05-31T01:52:00.9733676Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,4390bdcd-8867-4126-8b85-843e952a6bf1,55.21542,-104.22388,8.83068,6.41499,2.24255,-19.22111,-1.52492,4.04565,1.31575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
83,2023-05-30,19:52:13.49,1,2,"Scafidi, Christian",1000057224,Right,ROC_VIB,"O'Connor, McClain",1000023663,Right,MIS_PAD,Undefined,3,Bottom,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.10537,-1.958755,-1.61783,2529.082502,202.867197,12:45,6.5031,1.28769,5.78914,-15.71572,17.36847,6.87827,3.36988,0.35548,84.14941,-4.943377,-0.386022,0.413982,94.99722,62.069408,-54.215438,3848.881723,,,,,89.79282,,,-3.98429,9.74784,-1.15876,50,6.33248,3.47763,-133.6935,-5.05761,-7.20669,28.99392,-14.54247,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,c39e7c00-ff55-11ed-b453-ebf3d8e2a684,91.04842,155.91373,,7.95595,,,,2.28271,3.13846,-0.17684,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:52:13.49,2023-05-30T19:52:13.4976556-06:00,2023-05-31T01:52:13.4976556Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,6d6f8bb6-9d57-4dbb-bbeb-6bf95db84671,54.70899,-134.71086,14.49696,6.50099,-4.54733,-7.27123,-1.28522,3.73051,-3.60335,163.611488,2.28267,38.16586,-15.47654,4.45029,-1.67988,1.00387,-0.48726,0.13328,-0.01513,3.13849,123.09602,-28.50876,3.58778,-0.30354,-0.39478,0.288,-0.08793,0.01044,-0.17679,-52.94737,10.50071,-3.50193,1.62242,-1.10817,0.56132,-0.15577,0.0178,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
84,2023-05-30,19:52:39.43,1,3,"Scafidi, Christian",1000057224,Right,ROC_VIB,"O'Connor, McClain",1000023663,Right,MIS_PAD,Undefined,3,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.73242,0.163229,-1.038512,2466.951647,201.186001,12:45,6.53496,1.3723,5.57168,-18.88847,15.15839,5.49406,5.11341,0.86,83.44512,-3.373962,-0.058527,0.419962,,,,,,,,,,,,-3.03055,7.92804,-1.28648,50,6.53669,2.14302,-131.84416,-0.25536,-5.38232,25.67318,-18.09375,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,d31c8c80-ff55-11ed-b453-ebf3d8e2a684,89.75203,,,7.2873,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:52:39.43,2023-05-30T19:52:39.4393644-06:00,2023-05-31T01:52:39.4393644Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,6388089d-d502-41d6-ba0f-50995edf96f7,54.92535,-132.79978,12.83659,6.53366,0.41813,-9.04688,-1.36998,2.34336,-2.69116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
85,2023-05-30,19:52:52.34,1,4,"Scafidi, Christian",1000057224,Right,ROC_VIB,"O'Connor, McClain",1000023663,Right,MIS_PAD,Undefined,3,Bottom,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,82.16624,-0.503413,-2.113545,2486.976339,109.412375,9:45,6.39419,1.68333,5.31915,-38.8323,3.01882,-5.27335,2.6854,-0.7405,76.31501,-7.55124,-3.049966,0.465613,101.43447,7.272299,-4.62249,830.285834,109.79742,4.24382,-6.66704,137.81614,137.81614,-3.391485,1.04198,2.1498,1.95225,-1.48788,50,6.32015,4.61737,-119.3756,-2.42172,3.13545,20.67337,-29.32674,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,dad41ab0-ff55-11ed-b453-ebf3d8e2a684,80.95229,6.83038,,5.85124,,,,2.06365,2.78208,0.70829,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:52:52.34,2023-05-30T19:52:52.3459116-06:00,2023-05-31T01:52:52.3459116Z,LineDrive,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,2a196685-e07e-43eb-a462-6a07d440746b,55.18117,-120.26952,10.33669,6.39745,-1.15362,-14.66337,-1.68461,4.48179,1.56772,330.305446,2.06365,147.09356,-18.99021,3.14318,-0.72132,0.15622,-0.03497,0.00678,-0.00074,2.78208,18.8321,-22.98976,2.76146,-0.60371,0.1429,-0.03059,0.00596,-0.0007,0.70829,-11.89298,4.08426,-0.97495,0.21001,-0.0478,0.01024,-0.00199,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
86,2023-05-30,19:53:30.10,2,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Bernard, Austin",676640,Left,MIS_PAD,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4771,-1.292553,-1.281442,2368.685404,186.72872,12:15,6.3746,1.24351,6.2726,-14.72233,19.80214,2.20173,3.95574,0.24554,81.40195,-4.144853,-0.883579,0.422897,,,,,,,,,,,,-1.50902,10.97579,-1.14981,50,6.27157,2.81608,-129.94228,-3.29261,-2.56833,28.38649,-13.49329,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,f14c35c0-ff55-11ed-b453-ebf3d8e2a684,89.12906,,,8.07515,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:53:30.10,2023-05-30T19:53:30.1073964-06:00,2023-05-31T01:53:30.1073964Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,098019fe-5708-4453-89c0-5637c1690991,54.22272,-130.8615,14.19325,6.37112,-2.85567,-6.74665,-1.24235,2.89924,-1.28416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
87,2023-05-30,19:53:43.18,2,2,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Bernard, Austin",676640,Left,MIS_PAD,Undefined,3,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,89.6975,-2.760003,-1.74376,2343.958254,182.956397,12:00,6.43734,1.37807,6.21753,-16.51773,17.80363,0.86323,2.51084,-0.1596,82.17909,-5.906622,-1.587962,0.421651,83.55563,-4.107896,-27.231048,,,,,22.42077,22.38803,-27.072524,0.186691,-0.93118,10.33831,-1.24794,50,6.22217,3.92917,-130.20107,-6.73485,-1.59928,27.2116,-14.41853,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,f91c2df0-ff55-11ed-b453-ebf3d8e2a684,89.39242,2.36408,,7.51842,,,,0.30733,2.36408,0.24367,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:53:43.18,2023-05-30T19:53:43.1885868-06:00,2023-05-31T01:53:43.1885868Z,GroundBall,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,63296d24-e1c1-4109-b2fc-3c522d8f58f0,54.28008,-131.09255,13.6058,6.43507,-6.26249,-7.20926,-1.37753,3.98156,-0.79964,55.891037,0.30799,108.63939,-17.97314,,,,,,,2.36487,-8.83434,-20.55311,,,,,,,0.244,-55.9548,-0.06267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
88,2023-05-30,19:54:32.19,3,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Willman, Kamron",1000078219,Right,MIS_PAD,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.56858,-3.891131,-1.197251,2438.487448,198.003931,12:30,6.40141,1.13513,6.16341,-21.25895,13.10406,3.92288,1.02918,0.35594,82.73569,-7.854512,-0.488892,0.421907,,,,,,,,,,,,-2.36291,8.13237,-1.04643,50,6.09502,2.56242,-129.97835,-9.49973,-4.06653,25.7167,-18.1785,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,164e8b70-ff56-11ed-b453-ebf3d8e2a684,89.33819,,,6.83289,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:54:32.19,2023-05-30T19:54:32.1997868-06:00,2023-05-31T01:54:32.1997868Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,7b4f0232-9a06-4884-bda0-f969d15719bf,54.33597,-130.83342,12.85835,6.40083,-8.89531,-9.08925,-1.13388,2.69763,-2.03326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
89,2023-05-30,19:54:51.75,3,2,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Willman, Kamron",1000078219,Right,MIS_PAD,Undefined,3,Bottom,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,89.83628,-1.459458,-0.51149,2476.741105,199.023604,12:45,6.54157,1.13825,5.99818,-22.86793,11.36709,3.57055,3.28322,0.96184,82.76637,-5.72736,0.131078,0.421121,72.7437,-25.716826,-18.945357,,,,,8.3361,6.19129,-22.808256,0.069533,-1.98244,6.54272,-1.10002,50,6.41407,1.02031,-130.60768,-4.0718,-3.44522,25.937,-20.80365,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,21f83b60-ff56-11ed-b453-ebf3d8e2a684,89.50505,3.2329,,7.0699,,,,1.33547,3.2329,-1.05218,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:54:51.75,2023-05-30T19:54:51.7562924-06:00,2023-05-31T01:54:51.7562924Z,GroundBall,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,df47771b-f5f0-41f4-b85f-9b6325b07d98,54.50074,-131.49844,12.9685,6.54163,-3.35735,-10.40182,-1.13709,1.13863,-1.72261,180,1.33109,91.30654,,,,,,,,3.23513,-46.49457,,,,,,,,-1.05068,-31.34199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
90,2023-05-30,19:55:28.19,4,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Chung, Patrick",8892613,Right,MIS_PAD,Undefined,3,Bottom,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78623,-1.300344,-1.233012,2435.930525,172.870361,11:45,6.43563,1.13641,5.97469,-17.80485,16.5365,-1.94012,3.74597,-0.16846,82.54124,-4.665361,-1.581663,0.421774,,,,,,,,,,,,0.67402,9.15418,-1.03783,50,6.32279,2.88954,-130.4773,-3.49629,1.16873,25.94645,-16.30073,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,37ab31b0-ff56-11ed-b453-ebf3d8e2a684,89.36637,,,7.24499,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:55:28.19,2023-05-30T19:55:28.1953324-06:00,2023-05-31T01:55:28.1953324Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,61b65b1f-ba2d-4eb4-b6dd-e2d40b920b98,54.52268,-131.37359,12.97323,6.43384,-2.9332,-8.15036,-1.13695,2.84917,0.58437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
91,2023-05-30,19:55:55.51,4,2,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Chung, Patrick",8892613,Right,MIS_PAD,Undefined,3,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.73628,-0.034031,-0.880149,2419.885108,184.378382,12:15,6.49829,1.2515,5.87616,-19.5554,15.52851,1.11378,4.83706,0.52682,81.89442,-3.707945,-0.680339,0.42631,,,,,,,,,,,,-0.78476,8.26658,-1.18102,50,6.4841,1.93581,-129.04417,-0.68583,-1.33867,23.93136,-18.07279,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,47fb3830-ff56-11ed-b453-ebf3d8e2a684,88.41554,,,6.84185,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:55:55.51,2023-05-30T19:55:55.5142700-06:00,2023-05-31T01:55:55.5142700Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,99bbe610-a55e-47bb-baf0-692c1de7fbc9,54.62151,-129.89841,11.96568,6.49707,-0.04072,-9.0364,-1.25097,1.98359,-0.66933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
92,2023-05-30,19:56:16.99,4,3,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Chung, Patrick",8892613,Right,MIS_PAD,Undefined,3,Bottom,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Sacrifice,1,2,,91.65264,-3.050954,-2.324105,2529.177197,188.455607,12:15,6.3978,1.24715,5.77271,-15.87091,17.36099,2.43457,2.23115,-0.71384,84.54013,-6.035289,-1.888585,0.414905,70.85817,38.332357,17.093195,3035.203373,105.14943,63.57126,32.30475,247.60901,242.4047,16.398089,4.378469,-1.84449,9.96804,-1.0566,50,6.13585,5.29397,-132.98718,-7.59363,-3.33092,26.27665,-14.17285,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,54c74810-ff56-11ed-b453-ebf3d8e2a684,90.84587,66.92652,,7.11251,,,,2.11398,2.37431,0.69039,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:56:16.99,2023-05-30T19:56:16.9981996-06:00,2023-05-31T01:56:16.9981996Z,FlyBall,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,9036423b-fdfd-44bf-bdda-446a2220da5a,54.72667,-133.91785,13.13833,6.39592,-7.09165,-7.08643,-1.2462,5.41195,-1.66546,181.725249,2.11587,77.87201,-11.53727,2.27454,-0.09442,-0.13847,0.04941,-0.00698,0.00036,2.37303,64.48588,-17.89253,1.27721,-0.31037,0.06559,-0.00302,-0.00123,0.00014,0.69115,23.9425,-3.28741,0.39039,0.09283,-0.0751,0.02061,-0.00265,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
93,2023-05-30,19:57:11.39,5,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Greenwalt, Keaton",687469,Right,MIS_PAD,Undefined,3,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72673,-2.244338,-3.48854,2419.436395,192.820215,12:30,6.4125,1.09959,5.89614,-19.56119,13.51776,2.85354,2.69385,-1.90535,84.54724,-5.896773,-2.977763,0.41395,,,,,,,,,,,,-2.35118,7.80591,-0.82021,50,6.22022,7.98664,-133.02814,-5.8624,-4.24687,26.40032,-18.07437,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,75306690-ff56-11ed-b453-ebf3d8e2a684,91.05564,,,7.17949,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:57:11.39,2023-05-30T19:57:11.3964588-06:00,2023-05-31T01:57:11.3964588Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,c581ffca-b943-4037-a553-2606f70e07cd,54.60153,-133.93823,13.20016,6.41157,-5.23932,-9.03719,-1.09805,8.13304,-2.12344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
94,2023-05-30,19:57:25.98,5,2,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Greenwalt, Keaton",687469,Right,MIS_PAD,Undefined,3,Bottom,1,1,0,Curveball,Curveball,InPlay,Undefined,LineDrive,HomeRun,0,2,,75.38464,1.921291,-1.123348,2394.584918,19.588618,6:45,6.36177,1.34048,5.25397,-61.31535,-10.99327,-4.45654,3.05842,-0.08652,69.48762,-9.164216,-1.914977,0.510565,106.11205,23.121693,-25.79849,2000.600536,98.94506,44.50802,-48.06116,416.39452,407.35916,-27.297335,4.574485,1.93083,-5.67481,-1.23401,50,6.49175,2.3149,-109.45955,1.59599,2.34115,19.42865,-39.05485,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,7dee4130-ff56-11ed-b453-ebf3d8e2a684,73.82502,67.41063,,5.89702,,,,2.11406,3.10847,0.13505,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:57:25.98,2023-05-30T19:57:25.9833388-06:00,2023-05-31T01:57:25.9833388Z,FlyBall,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,7da0bdce-73c0-41b9-acac-c470b4deb1aa,55.24813,-110.38715,9.71433,6.37104,3.46061,-19.52743,-1.34186,2.20313,1.17057,167.179623,2.11296,128.89402,-23.12644,5.75759,-1.38855,0.32067,-0.06039,0.00721,-0.00037,3.11059,61.05762,-15.31701,0.12214,0.33635,-0.17395,0.04622,-0.00612,0.00031,0.13562,-62.3031,8.56456,-1.73286,0.41234,-0.11634,0.02673,-0.00356,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
95,2023-05-30,19:58:51.36,6,1,"Scafidi, Christian",1000057224,Right,ROC_VIB,"Guenther, Jakob",1000248811,Left,MIS_PAD,Undefined,3,Bottom,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.8281,-2.162573,-0.87303,2463.608772,182.382177,12:00,6.54433,1.37294,6.17145,-13.39028,18.65513,0.73409,3.42998,0.62773,84.93776,-4.741132,-0.740588,0.407431,,,,,,,,,,,,-0.61807,10.54178,-1.30724,50,6.37358,2.02323,-134.82921,-5.44404,-1.13908,28.98865,-12.74566,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,b0ca6d40-ff56-11ed-b453-ebf3d8e2a684,92.51245,,,7.89034,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:58:51.36,2023-05-30T19:58:51.3688620-06:00,2023-05-31T01:58:51.3688620Z,,v3,518,551,,"Ulliana, Sonny",8900423,Right,ROC_VIB,9cf45751-d3c8-45f0-ad4d-a6c0e4347beb,54.32512,-135.75593,14.49432,6.54111,-5.03658,-6.37283,-1.37251,2.05964,-0.56954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
